day_of_week,hour_value,total_traffic,norm_total_traffic
6,4,9521987257.276085,0.35860710064042517
6,5,7309554637.374224,-0.2557467494245884
6,6,4751752883.169383,-0.9660035686666104
6,7,3750256078.5105844,-1.2441017182939802
6,8,3808005116.058975,-1.2280658204156636
6,9,4468789104.747415,-1.044577661788683
6,10,5513219456.468328,-0.754557616914746
6,11,7401036333.357362,-0.23034388217694723
6,12,9477211561.94566,0.3461736730331225
6,13,9402266702.939318,0.3253627962367172
6,14,8841330330.05764,0.16960057449879642
6,15,8603058990.72488,0.10343679018173028
6,16,8363923767.439862,0.03703312039773286
6,17,8758669394.518026,0.14664707817898975
6,18,10653826463.217163,0.6728990558256066
6,19,13936186377.199688,1.5843530057966029
6,20,14602645435.102367,1.7694170319052827
6,21,12017284928.126875,1.051507628934681
6,22,10128428781.57004,0.5270053071836884
6,23,6458870443.736129,-0.49196687420931406
