app,mean,std
BackBlaze,8.247906366416156,0.6113685230580598
Borland,4.470914702617877,0.619282620561843
LiveRadio ,5.081723426975061,0.8386261257037632
Apple Maps,4.815016614944479,1.4642462863380012
Mail.ru,7.671452604236901,0.4933150585689669
IMVU,6.080800731561207,0.6734486706287044
Salesforce,4.813846787402542,0.5952821598010024
XBOX,7.873957099084902,0.5118818108054034
Jabber,5.0846311290734825,0.9993966430507534
Generic P2P ,4.495674355475498,0.9269566806934406
emule,8.466990650583904,0.7702971881450259
SmartFoxServer2X,4.649961642596689,1.2174720862344894
mydlink,5.332113443315407,0.8285514232529684
Second Life,8.202391933660838,0.31821194821825316
Microsoft,4.443817521217523,1.405027834965172
Last Empire War Z,7.704163374649464,1.5419568020313
Foursquare,4.807639846090819,1.7917003589031602
OODrive,7.754955185353615,0.5209103316726252
FunPlus Games,5.487618833301261,1.8092662470139462
SugarSync,8.014941422797886,0.5828928384681478
Anaveo,7.891610032155852,0.8772744929568478
Tango,7.861976234360311,0.5041065171672975
Zynga Poker,5.811215274144094,1.5579142762665277
Clash of Kings,7.629156822812917,0.8099233957605199
Evernote,6.8788016684209286,0.5545402468335046
We Heart It,6.2934156239317645,0.7864437995722114
e-donkey,9.70121282586508,1.0857574288927714
Strava,7.922360447338855,1.9845275419105133
Games using port 8088,4.816587187100902,1.391625792575891
League Of Legend,6.985494805607223,1.5952509395848
Microsoft Store,4.700680835653936,0.9060688390336803
DoubleUCasino,7.40363581634389,0.5392200251123233
Coyote,4.42137868498537,1.1821320900453136
Shahid,inf,
NDrive,7.938591395688734,0.6435110136750564
Orange Finance,8.255930034619464,1.6751455769441947
QQ,8.026201231904325,1.3691782422845709
Yandex,9.73584065198898,1.1372670131048421
Microsoft DB,7.4636756475315,2.103063661819286
500px,7.025995187116958,0.9379794211610647
PMU Live,6.929467233946349,1.6430477059680495
VNC,8.33564852153219,1.1435018266110177
Garmin Connect,5.0229946406049235,1.4669139489893548
SuperCam Plus,8.316304502731763,1.0952209851209536
NetMarble Games,4.532477311511622,0.8085349978588307
SIP,4.279480290117025,1.9094676612011363
NCSoft Game,5.792371813669968,0.9728262187906599
Google Assistant,4.0995731924655425,1.763037193710727
Kiloo games,8.922664945515821,1.7699485755780933
Vine,9.383614337176182,1.532387170675583
Destiny,4.221149944011075,1.0143714115721854
Skinny ,9.018044393587193,0.9239594635254988
CiscoVPN,8.866779531430803,1.3138583627110256
Oracle DB,8.588517514201802,0.8368301833427052
Tunein Radio,6.738221601869264,0.9122376690949755
Postgre DB,8.464767922543496,1.7593454220769675
Com2us Games,4.30510178713017,0.4396978392135543
AzarLive,5.997690389049714,1.296788928738781
Youku,8.41925395174464,0.9545164404856773
Adaptive streaming F4F,inf,
Kama Games,4.682528980553346,0.6382042422604772
Radioline,4.784966057637127,0.7062579386943172
Acronis,inf,
StreamRoot,7.962812788639448,1.0757902303483804
Young Joy Games,4.070099479296835,0.7615735896408811
Jango Radio,inf,
Filerio,inf,
Mobile Iron,7.7012826469398785,1.0157316843136424
Feedly,4.71691451587461,0.7054285440144404
Line ,7.170901713793427,1.6553081876223539
PokerStars,6.48221057179192,1.41950805714774
Line,4.4201469251595835,0.978709180329848
Voxer,9.427596173790821,1.0526893984348775
IM,6.029703597600527,1.5060349898446066
Peak games,4.653326235691038,0.7593031414853119
YesMessenger,inf,
AngryWords (Apalabrados),5.7394810313798414,0.46189411660734514
Blackberry,8.0719247729724,1.3796686579040798
SIPS,5.68989213286248,2.7638950933133777
Filetopia,9.272366818447601,1.6706416010341225
TripleFun Games,4.888826644315659,0.5711527523446229
EasyNewsVPN,inf,
Seed Box,inf,
Apple Navigation,9.315509576415582,3.1212154391200944
Citrix,inf,
Exoty Games,5.0103838981212325,0.904625260048286
Pyramid Solitaire Saga,5.231624298747602,1.0954032281834567
Playshoo poker,6.621139260510589,0.6479096969465297
Microsoft Media Server,8.886971944352787,1.631971481106454
Orange,6.025121298954131,3.6532057748234514
Bubble Witch Saga 2,4.4994872685589735,1.2669757589875028
Google Hangouts,6.054828212985096,1.0919940648395376
Psiphon,8.197389821066237,0.8441450602558497
iBelote,6.1114466274118735,0.44114451698277574
Amazon Prime Video,8.257618763173806,1.3098058739571656
Kingdom of Camelot,8.4102714044709,0.3844578922857689
Goa Games,inf,
GraalOnline Games,7.841151573914542,1.9416389105653824
AllDebrid,7.483754864047724,0.949274370949365
Exit Games,inf,
OpenDrive,inf,
Skyhook,8.394481238865252,0.8783821685858714
SUPL,inf,
Libon,9.155715680493701,1.4148659364028013
SMS over IP,7.1922292414812246,0.49414780769119354
OmgPop games,6.767629207927203,0.5908570233036883
HeyTell,7.713833984876915,0.5656577682699068
Yes24 Web,inf,
Adictiz,inf,
DragonPlay,7.546564907956351,0.6139737207961725
LiveRadio,9.564338677810799,0.9284061523510934
Careem,inf,
Livedrive,inf,
Windows,9.917577108630573,3.396124285677044
SIEGE: Titan Wars,inf,
Camfrog,8.543764566704471,0.537152565099813
DirectConnect,inf,
Funshion,inf,
Contract Wars,inf,
PPTP,8.26926951707362,0.6694602201304702
Fring,inf,
Pokerist1,inf,
Wikango,inf,
Tapulous,inf,
TVcheck,inf,
Farm Heroes Saga,inf,
Interia,inf,
Google chat,8.539763170816405,0.9275535960126389
Papa Pear Saga,inf,
StarAfrica,inf,
World Reader,inf,
PutLocker,inf,
Free Ride game,inf,
Triviador,inf,
Lamsa game,inf,
Novacom,inf,
Oovoo,inf,
MobileVoIP,inf,
Tap4fun games,inf,
Anno-Online,inf,
MinoMonsters,inf,
AIM,inf,
Around me,inf,
OpenFeint,inf,
Obfuscation proxy Others,inf,
Orange Football Club,inf,
