insee,Description,norm_km2_total_traffic,norm_total_traffic_period
10002,Curfew 9pm,50581338746556.55,-0.0822713345948349
10003,Curfew 9pm,30199893619601.57,-0.08897024674120316
10004,Curfew 9pm,59900430663701.016,-0.07920836346359168
10005,Curfew 9pm,109601838608397.7,-0.06287265403286035
10006,Curfew 9pm,82786454740895.84,-0.07168625383310046
10007,Curfew 9pm,40861788900842.73,-0.085465927034827
10008,Curfew 9pm,71651115143768.23,-0.0753461837947144
10009,Curfew 9pm,145078770026658.7,-0.051212202808066945
1001,Curfew 9pm,160996075305146.44,-0.04598055073416696
10010,Curfew 9pm,53956865745775.22,-0.08116187652281849
10011,Curfew 9pm,31049316314898.99,-0.08869106104188278
10012,Curfew 9pm,72957635330170.72,-0.07491676066540982
10013,Curfew 9pm,172464498944921.25,-0.04221114371019789
10014,Curfew 9pm,86593156353668.66,-0.07043507858460554
10015,Curfew 9pm,52426031356653.61,-0.08166502657029978
10017,Curfew 9pm,253194204528021.06,-0.015677146639100317
10018,Curfew 9pm,41291726400373.69,-0.08532461646926862
10019,Curfew 9pm,33077478519668.035,-0.08802445078222244
1002,Curfew 9pm,313534133529468.44,0.00415519992813169
10020,Curfew 9pm,122920782587918.7,-0.05849502354368505
10021,Curfew 9pm,34018088250592.555,-0.08771529400201213
10022,Curfew 9pm,140638488556418.28,-0.05267162118046433
10023,Curfew 9pm,92929704337631.17,-0.06835240103198817
10024,Curfew 9pm,76140222322762.61,-0.07387071753506518
10025,Curfew 9pm,23815579920896.75,-0.09106862378542545
10026,Curfew 9pm,118659103735130.58,-0.0598957393444065
10027,Curfew 9pm,17499411179760.629,-0.09314460314974198
10028,Curfew 9pm,4966555369849.71,-0.09726386454120531
10029,Curfew 9pm,136827509821460.8,-0.05392420222062789
10030,Curfew 9pm,275477928355072.1,-0.00835299924515889
10031,Curfew 9pm,103867817038337.31,-0.06475729501410335
10032,Curfew 9pm,132149420385236.08,-0.05546178260076872
10033,Curfew 9pm,129305646057034.25,-0.056396465802575985
10034,Curfew 9pm,85797095908514.48,-0.0706967253398807
10035,Curfew 9pm,46788284509773.05,-0.08351802426479447
10037,Curfew 9pm,53177258803896.516,-0.08141811539007317
10038,Curfew 9pm,100700446539792.56,-0.06579833683290395
10039,Curfew 9pm,72237159033381.64,-0.0751535646499
1004,Curfew 9pm,347656504852087.4,0.015370438410592034
10040,Curfew 9pm,40802940974869.56,-0.08548526899432175
10041,Curfew 9pm,88031260725751.16,-0.06996240676050863
10042,Curfew 9pm,19933096666516.6,-0.09234470671619084
10043,Curfew 9pm,60703783388354.32,-0.07894431990380107
10044,Curfew 9pm,430812611923027.7,0.042701937832362674
10045,Curfew 9pm,33361268211523.547,-0.08793117563897605
10046,Curfew 9pm,390570673416993.3,0.029475338394869658
10047,Curfew 9pm,345891681302608.2,0.014790381508926734
10048,Curfew 9pm,18463487389550.527,-0.09282773347776545
10049,Curfew 9pm,365110568658094.5,0.021107187659982277
1005,Curfew 9pm,117668311791211.14,-0.060221389863606825
10050,Curfew 9pm,70763254372713.64,-0.07563800320528387
10051,Curfew 9pm,65089571026383.445,-0.07750281240044307
10052,Curfew 9pm,91582913300294.81,-0.06879506026358018
10053,Curfew 9pm,157003340534327.62,-0.0472928708020944
10054,Curfew 9pm,108004613255855.02,-0.06339762526272102
10055,Curfew 9pm,51379021398327.586,-0.08200915465756298
10056,Curfew 9pm,145419441753478.0,-0.05110023184847606
10057,Curfew 9pm,442171470758893.4,0.046435333425780594
10058,Curfew 9pm,22615002996129.44,-0.09146322580181225
10059,Curfew 9pm,165547122348031.3,-0.04448472626615831
1006,Curfew 9pm,194069715115641.06,-0.03511000617409966
10060,Curfew 9pm,395685766716245.56,0.031156551891691364
10061,Curfew 9pm,120751714849653.66,-0.059207946210730986
10062,Curfew 9pm,82472020782610.56,-0.0717896010417634
10063,Curfew 9pm,96321215249534.06,-0.06723768941557587
10064,Curfew 9pm,72071768068391.78,-0.07520792485534022
10065,Curfew 9pm,215836851011191.6,-0.027955649349347023
10066,Curfew 9pm,79605333563960.66,-0.07273181518355923
10067,Curfew 9pm,415759276388259.25,0.03775425273795039
10068,Curfew 9pm,219106714745159.5,-0.026880920361878058
10069,Curfew 9pm,105358743915504.31,-0.06426726164774543
1007,Curfew 9pm,187854767442048.06,-0.03715271650206428
10070,Curfew 9pm,156928869808227.12,-0.04731734761659484
10071,Curfew 9pm,55924089383044.55,-0.08051529536842833
10072,Curfew 9pm,28789479163076.918,-0.08943381752705144
10073,Curfew 9pm,412847422104701.06,0.03679719322096919
10074,Curfew 9pm,38280075713677.81,-0.08631447676818547
10075,Curfew 9pm,96873299912426.83,-0.06705623188736631
10076,Curfew 9pm,16663845421020.607,-0.09341923439278912
10077,Curfew 9pm,192376196137674.56,-0.035666626903441426
10078,Curfew 9pm,147447406784255.88,-0.050433686395370714
10079,Curfew 9pm,38526792364251.18,-0.08623338668075828
1008,Curfew 9pm,658416518456145.1,0.11751010597442978
10080,Curfew 9pm,16970909590285.062,-0.09331830946423832
10081,Curfew 9pm,817213987201540.5,0.1697031808798101
10082,Curfew 9pm,71050341228048.08,-0.07554364436025186
10083,Curfew 9pm,173582660102026.0,-0.041843629860700546
10084,Curfew 9pm,44113359412657.305,-0.08439721060865168
10085,Curfew 9pm,553479767078859.9,0.08301980982403388
10086,Curfew 9pm,62731322123399.484,-0.07827791456429631
10087,Curfew 9pm,27297989462867.86,-0.08992403588039576
10089,Curfew 9pm,53130746782304.58,-0.08143340282158029
1009,Curfew 9pm,176763731588951.16,-0.04079808484220497
10090,Curfew 9pm,106698842180063.8,-0.06382680217660068
10091,Curfew 9pm,46828127446390.14,-0.08350492880809901
10092,Curfew 9pm,90762702374031.81,-0.0690646447264238
10093,Curfew 9pm,138840099033427.19,-0.05326271044545142
10094,Curfew 9pm,32349529448038.04,-0.08826371089589467
10095,Curfew 9pm,62853944612498.48,-0.07823761137301
10096,Curfew 9pm,40986714241729.54,-0.08542486694913419
10097,Curfew 9pm,82482065669068.84,-0.0717862995186631
10098,Curfew 9pm,5333464003185.8545,-0.0971432701140117
10099,Curfew 9pm,13969401469676.783,-0.09430483613500779
1010,Curfew 9pm,57665512680848.195,-0.07994292959117551
10100,Curfew 9pm,141333600273010.7,-0.052443153949982946
10101,Curfew 9pm,196356793887479.47,-0.034358295995114016
10102,Curfew 9pm,33530443116462.395,-0.0878755717395226
10103,Curfew 9pm,33230586558357.64,-0.08797412769209338
10104,Curfew 9pm,320314180207786.56,0.0063836452990765225
10105,Curfew 9pm,312678305369939.7,0.00387390890007358
10106,Curfew 9pm,244623584657782.56,-0.01849411222682081
10107,Curfew 9pm,236619045325571.66,-0.021125020164144345
10108,Curfew 9pm,43645811591461.125,-0.08455088282173126
10109,Curfew 9pm,207295651776354.62,-0.03076294505102079
1011,Curfew 9pm,145563134128284.53,-0.051053003470461836
10110,Curfew 9pm,141217081232256.9,-0.05248145107820554
