insee,Description,norm_km2_total_traffic,norm_total_traffic_period
10002,Before Lockdown,43180206431400.33,-0.07410483863042484
10003,Before Lockdown,26806961927726.406,-0.07926095511396834
10004,Before Lockdown,59627558599755.18,-0.06892538482046857
10005,Before Lockdown,98710648887426.05,-0.05661768575600635
10006,Before Lockdown,93368386854830.94,-0.05830002338429325
10007,Before Lockdown,46039812277243.695,-0.07320431699985358
10008,Before Lockdown,157336958338865.5,-0.038155609991849714
10009,Before Lockdown,95456365287405.0,-0.05764249579340784
1001,Before Lockdown,120269242556965.31,-0.04982864524808591
10010,Before Lockdown,50754850606617.7,-0.07171949907966864
10011,Before Lockdown,21505832625468.574,-0.08093033958878236
10012,Before Lockdown,144940305350482.47,-0.04205945365581187
10013,Before Lockdown,157710220759064.5,-0.03803806551146017
10014,Before Lockdown,115670100006664.77,-0.051276966300669594
10015,Before Lockdown,56177462858299.66,-0.07001185827527653
10017,Before Lockdown,225055446019240.1,-0.0168303063544998
10018,Before Lockdown,44202292228319.04,-0.07378297246493115
10019,Before Lockdown,31896074497721.64,-0.07765833706212938
1002,Before Lockdown,260316370502781.2,-0.005726249738612007
10020,Before Lockdown,119860120793891.03,-0.049957482233687046
10021,Before Lockdown,38269292770481.9,-0.07565133986728347
10022,Before Lockdown,106686970128862.19,-0.05410585363734601
10023,Before Lockdown,83155473568259.27,-0.06151618317046616
10024,Before Lockdown,86224625970081.66,-0.06054967300285749
10025,Before Lockdown,21865746932961.055,-0.0808169985772859
10026,Before Lockdown,95550984578708.28,-0.057612699128034614
10027,Before Lockdown,12691885280075.621,-0.08370594946759823
10028,Before Lockdown,5184329062600.924,-0.08607016227559512
10029,Before Lockdown,98497683647265.78,-0.0566847508746495
10030,Before Lockdown,241071128960027.62,-0.01178678997705417
10031,Before Lockdown,94010347007169.05,-0.05809786300474807
10032,Before Lockdown,123124606174594.97,-0.04892945954227988
10033,Before Lockdown,109046797885027.66,-0.05336271767616507
10034,Before Lockdown,63409934286256.71,-0.06773427272171816
10035,Before Lockdown,50691435634008.31,-0.07173946915862893
10037,Before Lockdown,72868491399900.45,-0.06475566806988797
10038,Before Lockdown,95246320368158.97,-0.05770864127057127
10039,Before Lockdown,58656004871141.29,-0.06923133787660415
1004,Before Lockdown,255341670990600.0,-0.007292837848236688
10040,Before Lockdown,25124244243422.195,-0.07979086159568272
10041,Before Lockdown,92765971524458.47,-0.058489730660342035
10042,Before Lockdown,16876694920816.816,-0.08238810644850231
10043,Before Lockdown,55166992462304.55,-0.07033006662205557
10044,Before Lockdown,398327426872616.9,0.037734964225430864
10045,Before Lockdown,32507073413415.375,-0.07746592671976084
10046,Before Lockdown,378469380644770.0,0.031481444987787086
10047,Before Lockdown,323941044981933.4,0.014309866668764371
10048,Before Lockdown,17145184315360.8,-0.08230355615716851
10049,Before Lockdown,392770946961001.6,0.03598516700861601
1005,Before Lockdown,133949278470454.75,-0.04552065005182638
10050,Before Lockdown,149962017724295.28,-0.04047806067408362
10051,Before Lockdown,36591524507104.89,-0.0761796877213953
10052,Before Lockdown,66347109714304.03,-0.06680932356846905
10053,Before Lockdown,160147734888834.72,-0.037270465248692555
10054,Before Lockdown,89795925261998.75,-0.059425031204306866
10055,Before Lockdown,38072289881384.76,-0.07571337826434958
10056,Before Lockdown,163326719353975.3,-0.036269367744898355
10057,Before Lockdown,404898011392656.5,0.039804114242868775
10058,Before Lockdown,21389256450826.816,-0.08096705072050239
10059,Before Lockdown,145123696044047.16,-0.042001701890252804
1006,Before Lockdown,102883384584871.6,-0.05530364495570916
10060,Before Lockdown,319306901173560.3,0.012850523331400668
10061,Before Lockdown,121143903421270.22,-0.04955320483070614
10062,Before Lockdown,63695650852107.664,-0.06764429740286948
10063,Before Lockdown,80618978846151.6,-0.062314953520725434
10064,Before Lockdown,63068208747133.016,-0.0678418858881085
10065,Before Lockdown,219472135675529.12,-0.0185885527722753
10066,Before Lockdown,125164160810594.72,-0.048287181142576865
10067,Before Lockdown,411141504736153.0,0.0417702596171758
10068,Before Lockdown,144502787818461.47,-0.042197232784327694
10069,Before Lockdown,98623827175811.81,-0.056645026876960304
1007,Before Lockdown,151375934806410.06,-0.040032802486445855
10070,Before Lockdown,117231393504336.05,-0.05078529764347792
10071,Before Lockdown,55771426584471.84,-0.07013972360605629
10072,Before Lockdown,18771370579844.17,-0.08179145204721441
10073,Before Lockdown,343826753218175.94,0.020572096979978506
10074,Before Lockdown,44872625765088.33,-0.07357187699160375
10075,Before Lockdown,51697593333345.06,-0.07142261892791074
10076,Before Lockdown,15639210697516.086,-0.08277780396999562
10077,Before Lockdown,172796566565200.5,-0.03328720771598775
10078,Before Lockdown,157978833124211.47,-0.03795347649531818
10079,Before Lockdown,33637911227755.04,-0.07710981333652622
1008,Before Lockdown,484526354847275.8,0.06487996369662238
10080,Before Lockdown,9701443365276.375,-0.08464767282893422
10081,Before Lockdown,647657764558603.6,0.11625185583489281
