insee,Description,norm_km2_total_traffic,norm_total_traffic_period
10002,Nov. Lockdown,57841786267644.63,-0.08750675721381765
10003,Nov. Lockdown,24399192110353.96,-0.10119174977110292
10004,Nov. Lockdown,50588124977562.01,-0.09047501680220274
10005,Nov. Lockdown,84852338838531.4,-0.07645381050871988
10006,Nov. Lockdown,78254061719890.12,-0.07915388134756736
10007,Nov. Lockdown,34163950714829.7,-0.09719592790999274
10008,Nov. Lockdown,68436401868084.11,-0.08317135084679379
10009,Nov. Lockdown,118556905932917.56,-0.06266161640847118
1001,Nov. Lockdown,132180243717084.25,-0.057086831291478075
10010,Nov. Lockdown,33954487917162.633,-0.09728164185950335
10011,Nov. Lockdown,31770853226847.316,-0.09817520365510586
10012,Nov. Lockdown,73559252848091.48,-0.08107503687055882
10013,Nov. Lockdown,154705743586367.94,-0.04786920610933967
10014,Nov. Lockdown,78466719602454.75,-0.07906685994227633
10015,Nov. Lockdown,45492358906462.95,-0.09256024740449005
10017,Nov. Lockdown,203005191990706.94,-0.028104663059073155
10018,Nov. Lockdown,33965810492186.49,-0.09727700856597946
10019,Nov. Lockdown,31067995462009.57,-0.0984628190008352
1002,Nov. Lockdown,303846382945046.5,0.013160405708837267
10020,Nov. Lockdown,117458833901151.64,-0.0631109567769666
10021,Nov. Lockdown,32145522844037.52,-0.09802188567688404
10022,Nov. Lockdown,121416310471390.28,-0.06149152387189275
10023,Nov. Lockdown,71696441711046.1,-0.08183731495300049
10024,Nov. Lockdown,64305316910769.1,-0.08486182577312497
10025,Nov. Lockdown,23676737197658.918,-0.10148738443558813
10026,Nov. Lockdown,83020314433311.72,-0.07720349039994719
10027,Nov. Lockdown,15498774678112.328,-0.10483387590952646
10028,Nov. Lockdown,4502122017464.076,-0.10933379924406883
10029,Nov. Lockdown,109613596468053.94,-0.06632129432964333
10030,Nov. Lockdown,218420885610868.25,-0.021796430765098847
10031,Nov. Lockdown,88397773998251.75,-0.07500298843597906
10032,Nov. Lockdown,116229508722229.73,-0.06361400704408715
10033,Nov. Lockdown,113308072024459.22,-0.06480948366523478
10034,Nov. Lockdown,67863719742280.37,-0.08340569721934056
10035,Nov. Lockdown,41988196556581.3,-0.09399418029414881
10037,Nov. Lockdown,56052145436767.2,-0.08823909338772755
10038,Nov. Lockdown,73470295928726.97,-0.08111143879481436
10039,Nov. Lockdown,61901766002441.86,-0.08584537914631159
1004,Nov. Lockdown,288158658583037.2,0.006740856133074548
10040,Nov. Lockdown,29426947457210.758,-0.09913434973275731
10041,Nov. Lockdown,84479353433232.2,-0.07660643929318225
10042,Nov. Lockdown,21241746392501.78,-0.10248380328063664
10043,Nov. Lockdown,45231104304142.19,-0.09266715499878433
10044,Nov. Lockdown,343201390822117.25,0.029264807997623356
10045,Nov. Lockdown,23161035449061.047,-0.10169841395555143
10046,Nov. Lockdown,351523533713393.6,0.03267029929988686
10047,Nov. Lockdown,260190983352166.88,-0.004703753264716225
10048,Nov. Lockdown,14699919862439.57,-0.1051607740608904
10049,Nov. Lockdown,346867890682136.4,0.03076517077030947
1005,Nov. Lockdown,109389570685837.69,-0.06641296757567951
10050,Nov. Lockdown,62759745504185.8,-0.085494286673029
10051,Nov. Lockdown,49030980974573.16,-0.09111221330649599
10052,Nov. Lockdown,63019528776305.7,-0.08538798115950492
10053,Nov. Lockdown,141755235046925.25,-0.05316866380516844
10054,Nov. Lockdown,85890996160852.36,-0.07602878314216215
10055,Nov. Lockdown,37420662279965.125,-0.09586325397565361
10056,Nov. Lockdown,144445458643735.44,-0.05206780154171408
10057,Nov. Lockdown,395499982444904.75,0.050665834298040315
10058,Nov. Lockdown,22308605414643.992,-0.10204723553983815
10059,Nov. Lockdown,147513012421419.38,-0.05081253257486196
1006,Nov. Lockdown,171851747327359.53,-0.04085291627012868
10060,Nov. Lockdown,359703838500839.2,0.0360177492496723
10061,Nov. Lockdown,103246696084665.78,-0.06892668385026006
10062,Nov. Lockdown,58775108755454.734,-0.08712483375300131
10063,Nov. Lockdown,73857099965062.84,-0.08095315530958329
10064,Nov. Lockdown,57579881447806.64,-0.08761393088262286
10065,Nov. Lockdown,212335355680565.38,-0.024286681115045936
10066,Nov. Lockdown,100059942598973.89,-0.07023073034642846
10067,Nov. Lockdown,366459222382258.4,0.038782109505459225
10068,Nov. Lockdown,173054848789799.22,-0.04036059696972666
10069,Nov. Lockdown,89790297107671.44,-0.0744331561945379
1007,Nov. Lockdown,149521481560141.44,-0.04999065000541552
10070,Nov. Lockdown,145219697149308.75,-0.05175097659277319
10071,Nov. Lockdown,57972351286710.42,-0.0874533289030307
10072,Nov. Lockdown,20084317945053.906,-0.10295743279676857
10073,Nov. Lockdown,338837501295632.75,0.027479067471338964
10074,Nov. Lockdown,33105059036043.4,-0.09762923534646152
10075,Nov. Lockdown,54389791458369.86,-0.08891934270436082
10076,Nov. Lockdown,12653354354131.02,-0.10599824598718513
10077,Nov. Lockdown,161574304991876.97,-0.045058532652862124
10078,Nov. Lockdown,111175361701199.02,-0.06568220677886019
10079,Nov. Lockdown,36296018817224.32,-0.09632346759858071
1008,Nov. Lockdown,517985605238472.4,0.10078798775362083
10080,Nov. Lockdown,12226054676035.594,-0.10617310063174301
10081,Nov. Lockdown,698204908403582.4,0.17453525182332516
10082,Nov. Lockdown,57409837080983.29,-0.08768351447662998
10083,Nov. Lockdown,139025311117303.42,-0.05428577178079733
10084,Nov. Lockdown,41061476157312.79,-0.09437340212445977
10085,Nov. Lockdown,481607511903988.9,0.0859017640895961
10086,Nov. Lockdown,56875139854620.7,-0.0879023171068553
10087,Nov. Lockdown,15010541640552.934,-0.10503366500046228
10089,Nov. Lockdown,45605691587919.766,-0.09251387071209176
1009,Nov. Lockdown,166029732012034.3,-0.04323533420947556
10090,Nov. Lockdown,92441031914272.6,-0.07334845307823477
10091,Nov. Lockdown,49856587316027.484,-0.0907743682043813
10092,Nov. Lockdown,64130827271179.92,-0.08493322841036866
10093,Nov. Lockdown,109946046360427.78,-0.06618525302012623
10094,Nov. Lockdown,22444609689164.227,-0.10199158143968629
10095,Nov. Lockdown,56921685817244.79,-0.08788327010502624
10096,Nov. Lockdown,57409366542960.23,-0.08768370702477121
10097,Nov. Lockdown,85728373602166.03,-0.07609532966946808
10098,Nov. Lockdown,4930936197190.901,-0.10915832485262598
10099,Nov. Lockdown,12377713110951.717,-0.10611104071667436
1010,Nov. Lockdown,62243281090937.48,-0.08570562828182178
10100,Nov. Lockdown,127433981648493.16,-0.05902904189805073
10101,Nov. Lockdown,177030843867132.44,-0.038733586134825686
10102,Nov. Lockdown,32966102022563.65,-0.09768609773238496
10103,Nov. Lockdown,34329103865214.117,-0.09712834584314728
10104,Nov. Lockdown,291779925999525.06,0.008222709407060845
10105,Nov. Lockdown,282014745242036.06,0.004226714797364912
10106,Nov. Lockdown,206937081150903.97,-0.02649570073873723
10107,Nov. Lockdown,219927364828012.38,-0.021179966719954556
10108,Nov. Lockdown,36380645238679.42,-0.09628883775071914
10109,Nov. Lockdown,168342757272118.7,-0.04228882469767781
1011,Nov. Lockdown,148690825011835.7,-0.05033056169491423
10110,Nov. Lockdown,138928860447130.12,-0.054325240211304214
10111,Nov. Lockdown,101782810772605.9,-0.06952571810896727
10112,Nov. Lockdown,47577092614695.34,-0.09170715672776505
10113,Nov. Lockdown,129858884734191.72,-0.05803675103317808
10114,Nov. Lockdown,100015865626858.53,-0.07024876701644601
10115,Nov. Lockdown,198877412941866.34,-0.029793785179678345
10116,Nov. Lockdown,240488185657063.94,-0.012766304828360385
10117,Nov. Lockdown,142796245616459.56,-0.05274267346993523
10118,Nov. Lockdown,102503463527737.12,-0.06923082090260901
