insee,Description,norm_km2_total_traffic,norm_total_traffic_period
10002,Curfew 6pm,50832549330981.195,-0.12340240446859556
10003,Curfew 6pm,26665801124483.656,-0.13621878260526735
10004,Curfew 6pm,50981934555216.28,-0.12332318083844603
10005,Curfew 6pm,91368687957244.33,-0.10190482951992892
10006,Curfew 6pm,82716524211404.06,-0.10649334102836916
10007,Curfew 6pm,39533361098399.09,-0.129394715382286
10008,Curfew 6pm,61913515418878.445,-0.11752582354473157
10009,Curfew 6pm,128950797143814.78,-0.08197386825062287
1001,Curfew 6pm,148290381615436.06,-0.07171748516273341
10010,Curfew 6pm,48714909609365.875,-0.12452545466953907
10011,Curfew 6pm,29087463742673.727,-0.1349344996074488
10012,Curfew 6pm,68240441678805.72,-0.1141704577877339
10013,Curfew 6pm,152300791398191.3,-0.06959064013502796
10014,Curfew 6pm,87238948504817.53,-0.10409495878249984
10015,Curfew 6pm,53351749201736.055,-0.12206639443242659
10017,Curfew 6pm,224936723789414.97,-0.031069546279903614
10018,Curfew 6pm,37706498824599.75,-0.13036355725975207
10019,Curfew 6pm,29807617946891.805,-0.13455257943684465
1002,Curfew 6pm,308582127637611.56,0.013290212672890885
10020,Curfew 6pm,116883495979486.66,-0.08837353333959612
10021,Curfew 6pm,39498072379722.35,-0.1294134300872457
10022,Curfew 6pm,131822360534024.19,-0.08045098888191857
10023,Curfew 6pm,80775981511565.38,-0.10752247117111645
10024,Curfew 6pm,69588395929652.016,-0.11345559572842154
10025,Curfew 6pm,28894774350645.83,-0.1350366887844971
10026,Curfew 6pm,103048454621404.9,-0.09571068602834701
10027,Curfew 6pm,17129705246737.438,-0.1412760708127016
10028,Curfew 6pm,5127334785147.035,-0.14764130113073023
10029,Curfew 6pm,131592341213804.19,-0.0805729752808122
10030,Curfew 6pm,262423950688986.03,-0.011188904038141767
10031,Curfew 6pm,102775466483248.53,-0.09585546012768145
10032,Curfew 6pm,127811631914501.58,-0.08257800299867728
10033,Curfew 6pm,117118685932007.2,-0.08824880479359179
10034,Curfew 6pm,77220435284874.06,-0.10940808790921945
10035,Curfew 6pm,44843557238166.19,-0.12657855322734404
